X,RecordID_ALA,COLLECTION.ID,CatalogNumber,Collection,SpeciesName,MonthCapture,YearCapture,LongitudeClim,LatitudeClim,Longitude,Latitude,distance2coast_m,elevation,IBRA_REG_CODE_7,IBRA_REG_NAME_7
4742,23cb7415-91dd-492f-b3aa-3a5fe4096a32,B00653,B00653,ANWC,Malurus lamberti,6,1961,150.15,-25.1667,150.15,-25.1667,181283.6234,153.652298,BBS,Brigalow Belt South
8601,244bf14a-ef51-4f4c-837e-d17723939eb9,B40056,B40056,ANWC,Malurus lamberti,9,1985,142.1667,-28.8,142.1667,-28.8,591279.2202,82.92456055,CHC,Channel Country
8606,24f880fb-5e92-4129-bd8d-74386f8dd255,B40218,B40218,ANWC,Malurus lamberti,9,1985,134.25,-24.9,134.25,-24.9,793391.1512,344.8635864,FIN,Finke
4573,250301bc-9794-4926-b145-802394487f25,G6415,G6415,ANWC,Malurus lamberti,5,2002,125.5128,-26.7461,125.5128,-26.7461,613786.4567,433.6838074,GID,Gibson Desert
87,2511f18f-9961-4a77-b061-48a9890e0c14,B46883,B46883,ANWC,Malurus lamberti,1,1995,153.405,-28.5789,153.405,-28.5789,45147.78511,334.482605,SEQ,South Eastern Queensland
7342,25a6457b-d6d3-4ecc-93c0-0f66044f5f32,O27370,O27370,QM,Malurus lamberti,8,1986,139.883333,-18.216667,139.883333,-18.216667,58001.5767,12.02423954,GUP,Gulf Plains
8409,25eb2b90-9267-4c26-9d3b-787e0b607891,G30917,G30917,ANWC,Malurus lamberti,8,2008,128.1242,-28.4664,128.1242,-28.4664,370961.9195,349.9440918,GVD,Great Victoria Desert
8616,279647c7-0c35-4057-82eb-a6c611cc582a,A35583,A35583,WAM,Malurus lamberti,9,2004,115.569722,-22.119722,115.569722,-22.119722,63364.82936,146.3050995,PIL,Pilbara
11686,27ecdca4-60c0-43f4-8ec4-6648374e73e8,ABTC113311,ABTC113311,ABTC,Malurus lamberti assimilis,10,2005,139.4911,-34.3481,139.4911,-34.3481,101218.363,81.03027344,MDD,Murray Darling Depression
96,28fcd36c-ff08-4e7e-8979-1fc998f9785c,B46877,B46877,ANWC,Malurus lamberti,1,1995,153.4178,-28.5817,153.4178,-28.5817,45147.78511,305.9490051,SEQ,South Eastern Queensland
8625,291534c3-dfa2-4cd5-8a75-be4f6384d4a6,B36874,B36874,ANWC,Malurus lamberti,9,1980,144.7667,-33.7,144.7667,-33.7,466561.0233,89.74429321,RIV,Riverina
11697,296e6e8b-3a9b-4ad2-9806-51d324463a77,G26160,G26160,ANWC,Malurus lamberti,10,1997,145.7606,-29.9222,145.7606,-29.9222,656184.4973,102.9981003,MUL,Mulga Lands
10045,29b289b4-d118-4842-adfa-35d9530f0548,B19663,B19663,ANWC,Malurus lamberti,10,1977,120.25,-26.6333,120.25,-26.6333,594771.8004,499.817688,MUR,Murchison
8628,29d2790d-f3ab-4184-bd2e-4c2bea291e51,O27578,O27578,QM,Malurus lamberti,9,1986,142.616667,-18.783333,142.616667,-18.783333,243868.8685,175.4008942,GUP,Gulf Plains
7359,29f64968-4a53-49c5-aaea-44040aad1048,A12688,A12688,WAM,Malurus lamberti,8,1973,128.9,-25.016944,128.9,-25.016944,742806.185,647.8850708,CER,Central Ranges
11693,2a18aac7-a260-4f95-bbb1-19e134249884,G32480,G32480,ANWC,Malurus lamberti,10,2012,152.243,-31.8241,152.243,-31.8241,37033.0285,60.38249969,NNC,NSW North Coast
9740,2a2be9be-0a29-42b0-bd67-337e1b0a4cc0,ABTC38802,ABTC38802,ABTC,Malurus lamberti,9,1998,137.6036,-26.0417,137.6036,-26.0417,734975.6054,26.7509594,SSD,Simpson Strzelecki Dunefields
11742,2abffe57-4f7e-4b5f-a89c-7a4066020ffb,G40531,G40531,ANWC,Malurus lamberti,10,2015,132.419,-13.431,132.419,-13.431,117810,100.7722015,ARP,Arnhem Plateau
10056,2b957013-6c5a-4b50-b4f9-8010922aede8,A20690,A20690,WAM,Malurus lamberti,10,1986,119.7,-27.133333,119.7,-27.133333,521338.3592,522.8123779,MUR,Murchison
10057,2b9f0c71-7edf-44cc-9efd-836e382bf58a,B29377,B29377,ANWC,Malurus lamberti,10,2001,139.8,-17.625,139.8,-17.625,5610,0.9631688,GUP,Gulf Plains
