SAMPLE.ID,YearJJ,Tmean
ANWC106,1994,20.27943492
ANWC107,1994,20.27943492
SAM8,1997,20.27971586
ANWC126,2002,20.28102803
ANWC131,1994,20.2839795
ANWC135,2000,20.28589511
ANWC136,2000,20.28589511
ANWC131,2000,20.29973944
ANWC108,1980,20.30180661
SAM29,1985,20.30311489
SAM30,1985,20.30311489
ANWC130,1994,20.31106083
ANWC100,1990,20.31557878
ANWC71,1983,20.31607429
ANWC131,1991,20.32521486
ANWC75,2001,20.32615598
WAM55,1985,20.33137703
SAM12,1997,20.33784888
ANWC130,1991,20.34210793
ANWC71,1996,20.34555888
ANWC106,1995,20.35092211
ANWC107,1995,20.35092211
ANWC128,2000,20.35462983
ANWC129,1990,20.3620952
ANWC132,1989,20.37057877
ANWC133,1989,20.37057877
ANWC71,1985,20.37399181
ANWC106,1986,20.38000798
ANWC107,1986,20.38000798
SAM33,2005,20.38447285
ANWC72,1985,20.38791657
ANWC73,1985,20.38791657
ANWC71,1995,20.40372531
ANWC105,1988,20.41415739
ANWC130,2000,20.41669289
ANWC72,1984,20.41922522
ANWC73,1984,20.41922522
ANWC128,1991,20.42326959
ANWC129,2000,20.43157673
SAM33,1987,20.43513441
ANWC128,1994,20.44039162
ANWC105,1989,20.4432199
ANWC132,1999,20.46573051
ANWC133,1999,20.46573051
SAM11,1997,20.47584216
ANWC106,1981,20.47810022
ANWC107,1981,20.47810022
ANWC134,1996,20.48385183
ANWC77,2001,20.49111994
ANWC126,2005,20.49117645
WAM55,1983,20.49172195
ANWC106,1985,20.49318846
ANWC107,1985,20.49318846
ANWC106,1989,20.50335264
ANWC107,1989,20.50335264
ANWC132,2000,20.50507657
ANWC133,2000,20.50507657
ANWC105,1990,20.51875123
ANWC134,1994,20.52025501
WAM55,1978,20.52716335
ANWC105,1981,20.52919936
ANWC134,1990,20.53768571
ANWC129,1994,20.54309225
ANWC129,1991,20.54949737
ANWC72,1992,20.55065608
ANWC73,1992,20.55065608
ANWC106,1988,20.55485964
ANWC107,1988,20.55485964
