SAMPLE.ID,YearJD,Ndays5
SAM38,1997,48
SAM38,1998,32
SAM38,1991,48
SAM38,2000,55
SAM38,1993,46
SAM38,1994,66
SAM38,1999,48
SAM38,1995,41
SAM38,2001,53
SAM38,1996,29
SAM39,1987,1
SAM39,1988,30
SAM39,1998,27
SAM39,1990,29
SAM39,1993,29
SAM39,1994,43
SAM39,1996,14
SAM39,1989,36
SAM39,1991,12
SAM39,1992,29
SAM39,2001,32
SAM39,1995,22
SAM39,1997,44
SAM39,2000,25
SAM39,1999,43
SAM33,2002,54
SAM33,2003,40
SAM33,2004,38
SAM33,2005,39
SAM33,2007,50
SAM33,2006,52
SAM34,2004,39
SAM34,2002,58
SAM34,2006,54
SAM34,2007,50
SAM34,2003,44
SAM34,2005,41
SAM35,2007,55
SAM35,2002,57
SAM35,2003,25
SAM35,2004,30
SAM35,2005,37
SAM35,2006,46
SAM36,2003,19
SAM36,2002,48
SAM36,2004,27
SAM36,2005,29
SAM36,2006,39
SAM36,2007,51
SAM37,2007,50
SAM37,2002,58
SAM37,2004,39
SAM37,2005,41
SAM37,2006,54
SAM37,2003,44
SAM38,2005,40
SAM38,2003,35
SAM38,2004,39
SAM38,2006,50
SAM38,2002,63
SAM38,2007,58
SAM39,2006,36
SAM39,2002,46
SAM39,2004,27
SAM39,2007,49
SAM39,2003,16
SAM39,2005,27
ANWC126,1989,62
ANWC126,1988,6
ANWC126,1996,34
ANWC126,1997,48
ANWC126,1990,50
ANWC126,1991,41
ANWC126,1992,61
ANWC126,1993,48
ANWC126,1994,59
ANWC126,1995,45
ANWC126,1998,40
ANWC126,1999,44
ANWC126,2000,59
ANWC126,2001,51
ANWC126,2002,51
ANWC128,1992,52
ANWC128,1993,55
ANWC128,1988,1
